code,activity
90502,Waiting associated with vehicle main. or repair svcs
100101,Using police and fire services
100102,Using social services
100103,"Obtaining licenses & paying fines, fees, taxes"
100201,Civic obligations & participation
100304,Waiting associated with using government services
100305,Waiting associated with civic obligations & participation
100401,Security procedures rel. to govt svcs/civic obligations
110101,Eating and drinking
110201,Waiting associated w/eating & drinking
120101,Socializing and communicating with others
120201,Attending or hosting parties/receptions/ceremonies
120202,Attending meetings for personal interest (not volunteering)
120301,"Relaxing, thinking "
120302,Tobacco and drug use
120303,Television and movies (not religious)
120304,Television (religious)
120305,Listening to the radio
120306,Listening to/playing music (not radio)
120307,Playing games
120308,Computer use for leisure (exc. Games)
120309,Arts and crafts as a hobby
120310,Collecting as a hobby
120311,"Hobbies, except arts & crafts and collecting"
120312,Reading for personal interest
120313,Writing for personal interest
120401,Attending performing arts
120402,Attending museums
120403,Attending movies/film
120404,Attending gambling establishments
120405,Security procedures rel. to arts & entertainment
120501,Waiting assoc. w/socializing & communicating
120502,Waiting assoc. w/attending/hosting social events
120503,Waiting associated with relaxing/leisure
120504,Waiting associated with arts & entertainment
130101,Doing aerobics
130102,Playing baseball
130103,Playing basketball
130104,Biking
130105,Playing billiards
130106,Boating
130107,Bowling
130108,"Climbing, spelunking, caving"
130109,Dancing
130110,Participating in equestrian sports
130111,Fencing
130112,Fishing
130113,Playing football
130114,Golfing
130115,Doing gymnastics
130116,Hiking
130117,Playing hockey
130118,Hunting
130119,Participating in martial arts
130120,Playing racquet sports
130121,Participating in rodeo competitions
130122,Rollerblading
130123,Playing rugby
130124,Running
130125,"Skiing, ice skating, snowboarding"
130126,Playing soccer
130127,Softball
130128,Using cardiovascular equipment
130129,Vehicle touring/racing
130130,Playing volleyball
130131,Walking
130132,Participating in water sports
130133,Weightlifting/strength training
130134,"Working out, unspecified"
130135,Wrestling
130136,Doing yoga
130201,Watching aerobics
130202,Watching baseball
130203,Watching basketball
130204,Watching biking
130205,Watching billiards
130206,Watching boating
130207,Watching bowling
130208,"Watching climbing, spelunking, caving"
130209,Watching dancing
130210,Watching equestrian sports
130211,Watching fencing
130212,Watching fishing
130213,Watching football
130214,Watching golfing
130215,Watching gymnastics
130216,Watching hockey
130217,Watching martial arts
130218,Watching racquet sports
130219,Watching rodeo competitions
130220,Watching rollerblading
130221,Watching rugby
130222,Watching running
130223,"Watching skiing, ice skating, snowboarding"
130224,Watching soccer
130225,Watching softball
130226,Watching vehicle touring/racing
130227,Watching volleyball
130228,Watching walking
130229,Watching water sports
130230,Watching weightlifting/strength training
130231,"Watching people working out, unspecified"
130232,Watching wrestling
130299,"Attending sporting events, "
130301,Waiting related to playing sports or exercising
130302,Waiting related to attending sporting events
130399,"Waiting associated with sports, exercise, & recreation, "
130401,Security related to playing sports or exercising
130402,Security related to attending sporting events
130499,"Security related to sports, exercise, & recreation, "
140101,Attending religious services
140102,Participation in religious practices
140103,Waiting associated w/religious & spiritual activities
140104,Security procedures rel. to religious & spiritual activities
140105,Religious education activities
149999,"Religious and spiritual activities, "
150101,Computer use
150102,Organizing and preparing
150103,Reading
150104,Telephone calls (except hotline counseling)
150105,Writing
150106,Fundraising
150199,"Administrative & support activities, "
150201,"Food preparation, presentation, clean-up"
150202,Collecting & delivering clothing & other goods
150203,Providing care
150204,"Teaching, leading, counseling, mentoring"
150299,"Social service & care activities, "
150301,"Building houses, wildlife sites, & other structures"
150302,"Indoor & outdoor maintenance, repair, & clean-up"
150399,"Indoor & outdoor maintenance, building & clean-up activities, "
150401,Performing
150402,Serving at volunteer events & cultural activities
150499,"Participating in performance & cultural activities, "
150501,"Attending meetings, conferences, & training"
150599,"Attending meetings, conferences, & training, "
150601,Public health activities
150602,Public safety activities
150699,"Public health & safety activities, "
150701,Waiting associated with volunteer activities
150799,"Waiting associated with volunteer activities, "
150801,Security procedures related to volunteer activities
150899,"Security procedures related to volunteer activities, "
159999,"Volunteer activities, "
160101,Telephone calls to/from family members
160102,"Telephone calls to/from friends, neighbors, or acquaintances"
160103,Telephone calls to/from education services providers
160104,Telephone calls to/from salespeople
160105,Telephone calls to/from professional or personal care svcs providers
160106,Telephone calls to/from household services providers
160107,Telephone calls to/from paid child or adult care providers
160108,Telephone calls to/from government officials
160199,"Telephone calls (to or from), "
160201,Waiting associated with telephone calls
160299,"Waiting associated with telephone calls, "
169999,"Telephone calls, "
180101,Travel related to personal care
180199,"Travel related to personal care, "
180201,Travel related to housework
180202,"Travel related to food & drink prep., clean-up, & presentation"
180203,"Travel related to interior maintenance, repair, & decoration"
180204,"Travel related to exterior maintenance, repair, & decoration"
180205,"Travel related to lawn, garden, and houseplant care"
180206,Travel related to care for animals and pets (not vet care)
180207,Travel related to vehicle care & maintenance (by self)
180208,"Travel related to appliance, tool, and toy set-up, repair, & maintenance (by self)"
180209,Travel related to household management
180299,"Travel related to household activities, "
180301,Travel related to caring for & helping hh children
180302,Travel related to hh children's education
180303,Travel related to hh children's health
180304,Travel related to caring for hh adults
180305,Travel related to helping hh adults
180399,"Travel rel. to caring for & helping hh members, "
180401,Travel related to caring for and helping nonhh children
180402,Travel related to nonhh children's education
180403,Travel related to nonhh children's health
180404,Travel related to caring for nonhh adults
180405,Travel related to helping nonhh adults
180499,"Travel rel. to caring for & helping nonhh members, "
180501,Travel related to working
180502,Travel related to work-related activities
180503,Travel related to income-generating activities
180504,Travel related to job search & interviewing
180599,"Travel related to work, "
180601,Travel related to taking class
180602,Travel related to extracurricular activities (ex. Sports)
180603,Travel related to research/homework
180604,Travel related to registration/administrative activities
180699,"Travel related to education, "
180701,Travel related to grocery shopping
180702,Travel related to purchasing gas
180703,Travel related to purchasing food (not groceries)
180704,"Travel related to shopping, ex groceries, food, and gas"
180799,"Travel related to consumer purchases, "
180801,Travel related to using childcare services
180802,Travel related to using financial services and banking
180803,Travel related to using legal services
180804,Travel related to using medical services
180805,Travel related to using personal care services
180806,Travel related to using real estate services
180807,Travel related to using veterinary services
180899,"Travel rel. to using prof. & personal care services, "
180901,Travel related to using household services
180902,Travel related to using home main./repair/d_cor./construction svcs
180903,Travel related to using pet services (not vet)
180904,Travel related to using lawn and garden services
180905,Travel related to using vehicle maintenance & repair services
180999,"Travel related to using household services, "
181001,Travel related to using government services
181002,Travel related to civic obligations & participation
181099,"Travel rel. to govt svcs & civic obligations, "
181101,Travel related to eating and drinking
181199,"Travel related to eating and drinking, "
181201,Travel related to socializing and communicating
181202,Travel related to attending or hosting social events
181203,Travel related to relaxing and leisure
181204,Travel related to arts and entertainment
181205,Travel as a form of entertainment
181299,"Travel rel. to socializing, relaxing, & leisure, "
181301,Travel related to participating in sports/exercise/recreation
181302,Travel related to attending sporting/recreational events
181399,"Travel related to sports, exercise, & recreation, "
181401,Travel related to religious/spiritual practices
181499,"Travel rel. to religious/spiritual activities, "
181501,Travel related to volunteering
181599,"Travel related to volunteer activities, "
181601,Travel related to phone calls
181699,"Travel rel. to phone calls, "
181801,Security procedures related to traveling
181899,"Security procedures related to traveling, "
189999,"Traveling,"
1,Personal Care
2,Household Activities
3,Caring For & Helping Household Members
4,Caring For & Helping Non-Household Members
5,Work and Work-Related Activities
6,Education
7,Consumer Purchases
8,Professional and Personal Care Services
9,Household Services
10,Government Services and Civic Obligations
11,Eating and Drinking
12,"Socializing, Relaxing, and Leisure"
13,"Sports, Exercise, and Recreation"
14,"Religious and spiritual activities,"
15,Volunteer Activities
16,Telephone Calls
18,Traveling
